domain,system,question_no,question_id,prompt_type,thinking_level,input_tokens_mean,input_tokens_std,input_tokens_var,input_tokens_count,output_tokens_mean,output_tokens_std,output_tokens_var,output_tokens_count,reasoning_tokens_mean,reasoning_tokens_std,reasoning_tokens_var,reasoning_tokens_count,cached_tokens_mean,cached_tokens_std,cached_tokens_var,cached_tokens_count,tool_tokens_mean,tool_tokens_std,tool_tokens_var,tool_tokens_count,total_tokens_mean,total_tokens_std,total_tokens_var,total_tokens_count,cost_usd_mean,cost_usd_std,cost_usd_var,cost_usd_count,latency_s_mean,latency_s_std,latency_s_var,latency_s_count
cyber_loghub,Android,1,q1_classcast,context,high,2267.0,0.0,0.0,3,436.3333333333333,2.309401076758499,5.333333333333314,3,1051.3333333333333,12.701705922171751,161.33333333333292,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3754.6666666666665,15.011106998930238,225.33333333333235,3,0.022386,0.00018013328398716312,3.2447999999999954e-08,3,14.256333333333332,0.4894387942667944,0.23955033333333348,3
cyber_loghub,Android,1,q1_classcast,context,low,2267.0,0.0,0.0,3,267.0,0.0,0.0,3,783.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3317.0,0.0,0.0,3,0.017134,0.0,0.0,3,11.56,1.4596598918926291,2.1306070000000017,3
cyber_loghub,Android,1,q1_classcast,full,high,128969.0,0.0,0.0,3,217.33333333333334,27.153882472555065,737.3333333333331,3,930.0,6.928203230275509,48.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,130116.33333333333,21.939310229207823,481.33333333342307,3,0.271706,0.00026327172275047815,6.931200000000462e-08,3,15.829333333333333,4.277854758326108,18.30004133333333,3
cyber_loghub,Android,1,q1_classcast,full,low,128969.0,0.0,0.0,3,227.33333333333334,8.9628864398325,80.3333333333333,3,960.3333333333334,163.720289925633,26804.333333333332,3,40949.333333333336,70926.32586940714,5030543701.333333,3,0.0,0.0,0.0,3,130156.66666666667,157.9947256503617,24962.333333333056,3,0.19848133333333332,0.12955520785106764,0.016784551881333334,3,17.273333333333333,4.217933893902716,17.790966333333326,3
cyber_loghub,Android,1,q1_classcast,garbage,high,129168.0,0.0,0.0,3,299.0,138.5640646055102,19200.0,3,1098.6666666666667,198.9279601597858,39572.33333333333,3,40952.666666666664,70932.09937209905,5031362721.333334,3,0.0,0.0,0.0,3,130565.66666666667,295.2496119105548,87172.33333333323,3,0.2013933333333333,0.1274007806778802,0.01623095891733333,3,16.836333333333332,4.643593687364704,21.562962333333328,3
cyber_loghub,Android,1,q1_classcast,garbage,low,129168.0,0.0,0.0,3,220.33333333333334,0.5773502691896278,0.3333333333333357,3,1020.6666666666666,44.46721638840613,1977.3333333333348,3,40949.333333333336,70926.32586940714,5030543701.333333,3,0.0,0.0,0.0,3,130409.0,44.170125650715555,1951.0,3,0.19951933333333335,0.1271371482192885,0.016163854457333336,3,13.402333333333333,0.18779332611499616,0.035266333333333295,3
cyber_loghub,Android,2,q2_simpin,context,high,1737.0,0.0,0.0,3,625.0,77.92945527847606,6073.0,3,1536.6666666666667,155.10426600623634,24057.333333333325,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3898.6666666666665,97.72580689527894,9550.333333333347,3,0.029414,0.0011727096827433476,1.3752480000000032e-06,3,19.130666666666666,1.3710194503847613,1.879694333333333,3
cyber_loghub,Android,2,q2_simpin,context,low,1737.0,0.0,0.0,3,484.6666666666667,35.218366420567165,1240.333333333333,3,781.3333333333334,16.16580753730953,261.3333333333336,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3003.0,19.05255888325765,363.0,3,0.018666,0.00022863070659908985,5.2271999999999106e-08,3,11.752666666666665,0.42786251685948545,0.1830663333333335,3
cyber_loghub,Android,2,q2_simpin,full,high,128933.0,0.0,0.0,3,454.6666666666667,38.21430796617066,1460.333333333334,3,964.3333333333334,92.33814668561058,8526.333333333336,3,81905.33333333333,70932.09937209905,5031362721.333334,3,0.0,0.0,0.0,3,130352.0,130.54118124178285,17041.0,3,0.12746466666666664,0.12912350034495398,0.016672878341333332,3,18.366333333333333,1.086504640272343,1.1804923333333335,3
cyber_loghub,Android,2,q2_simpin,full,low,128933.0,0.0,0.0,3,335.0,79.50471684120383,6321.0,3,479.6666666666667,52.63395608666836,2770.333333333334,3,40949.333333333336,70926.32586940714,5030543701.333333,3,0.0,0.0,0.0,3,129747.66666666667,130.52330570949337,17036.333333333863,3,0.19393333333333332,0.12918159352374212,0.016687884105333332,3,14.314333333333332,1.4545460918559212,2.1157043333333343,3
cyber_loghub,Android,2,q2_simpin,garbage,high,129132.0,0.0,0.0,3,671.0,24.24871130596428,588.0,3,2185.3333333333335,653.5605047226563,427141.33333333326,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,131988.33333333334,629.3117934166878,396033.333333328,3,0.29253999999999997,0.007551741521000302,5.702879999999995e-05,3,33.01433333333333,6.824874015931235,46.57890533333335,3
