domain,contract,question_no,question_id,prompt_type,thinking_level,input_tokens_mean,input_tokens_std,input_tokens_var,input_tokens_count,output_tokens_mean,output_tokens_std,output_tokens_var,output_tokens_count,reasoning_tokens_mean,reasoning_tokens_std,reasoning_tokens_var,reasoning_tokens_count,cached_tokens_mean,cached_tokens_std,cached_tokens_var,cached_tokens_count,tool_tokens_mean,tool_tokens_std,tool_tokens_var,tool_tokens_count,total_tokens_mean,total_tokens_std,total_tokens_var,total_tokens_count,cost_usd_mean,cost_usd_std,cost_usd_var,cost_usd_count,latency_s_mean,latency_s_std,latency_s_var,latency_s_count
legal_cuad,AdaptimmuneAlliance,1,ada_q1_press_release,context,high,3469.0,0.0,0.0,3,882.3333333333334,178.97858344878398,32033.33333333333,3,789.0,126.43970895252804,15987.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,5140.333333333333,305.41829240131216,93280.33333333342,3,0.026994,0.003665019508815744,1.3432367999999998e-05,3,16.660666666666668,2.3400235753798153,5.475710333333335,3
legal_cuad,AdaptimmuneAlliance,1,ada_q1_press_release,context,low,3469.0,0.0,0.0,3,285.3333333333333,62.93117934166921,3960.333333333333,3,334.3333333333333,12.701705922171763,161.33333333333323,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,4088.6666666666665,75.63288526384095,5720.3333333333285,3,0.014374,0.0009075946231660919,8.237280000000005e-07,3,8.925333333333333,2.1716853670210456,4.716217333333333,3
legal_cuad,AdaptimmuneAlliance,1,ada_q1_press_release,full,high,20004.0,0.0,0.0,3,341.0,3.4641016151377544,12.0,3,460.3333333333333,15.011106998930261,225.3333333333331,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,20805.333333333332,11.54700538379199,133.3333333333212,3,0.029986,0.017076710543895743,0.000291614043,3,9.363333333333335,0.21717811430559317,0.047166333333333296,3
legal_cuad,AdaptimmuneAlliance,1,ada_q1_press_release,full,low,20004.0,0.0,0.0,3,181.0,6.928203230275509,48.0,3,376.3333333333333,7.505553499465143,56.33333333333346,3,5452.333333333333,9443.71835313471,89183816.33333334,3,0.0,0.0,0.0,3,20561.333333333332,14.43375672974117,208.3333333333485,3,0.03688166666666667,0.017086184955493525,0.0002919377163333333,3,7.973999999999999,1.6338815746558868,2.669569,3
legal_cuad,AdaptimmuneAlliance,1,ada_q1_press_release,garbage,high,20056.0,0.0,0.0,3,301.0,0.0,0.0,3,435.0,0.0,0.0,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,20792.0,0.0,0.0,3,0.029306,0.017007006879518807,0.00028923828300000005,3,9.636666666666668,0.12947715371189358,0.01676433333333332,3
legal_cuad,AdaptimmuneAlliance,1,ada_q1_press_release,garbage,low,20056.0,0.0,0.0,3,179.33333333333334,23.094010767585026,533.3333333333331,3,371.6666666666667,9.23760430703402,85.33333333333348,3,5452.333333333333,9443.71835313471,89183816.33333334,3,0.0,0.0,0.0,3,20607.0,13.856406460551018,192.0,3,0.03690966666666667,0.01708266935620231,0.0002918175923333334,3,7.496666666666666,1.1820289054559254,1.397192333333333,3
legal_cuad,AdaptimmuneAlliance,2,ada_q2_registry,context,high,2480.0,0.0,0.0,3,383.0,0.0,0.0,3,610.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3473.0,0.0,0.0,3,0.016876,0.0,0.0,3,10.451,0.30082054451117646,0.09049300000000071,3
legal_cuad,AdaptimmuneAlliance,2,ada_q2_registry,context,low,2480.0,0.0,0.0,3,210.33333333333334,2.309401076758499,5.333333333333314,3,341.3333333333333,5.773502691896266,33.33333333333343,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3031.6666666666665,8.082903768654827,65.3333333333344,3,0.01158,9.699484522385673e-05,9.407999999999923e-09,3,6.5360000000000005,0.1230406436914239,0.01513899999999993,3
legal_cuad,AdaptimmuneAlliance,2,ada_q2_registry,full,high,19988.0,0.0,0.0,3,292.0,43.30127018922193,1875.0,3,608.6666666666666,66.39528095680694,4408.333333333331,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,20888.666666666668,109.69655114602942,12033.333333333449,3,0.031145999999999997,0.0177019321826743,0.00031335840300000003,3,10.11,0.3534671130388224,0.12493899999999966,3
legal_cuad,AdaptimmuneAlliance,2,ada_q2_registry,full,low,19988.0,0.0,0.0,3,203.66666666666666,8.08290376865476,65.3333333333333,3,465.0,8.660254037844387,75.0,3,10904.0,9443.14100286552,89172912.0,3,0.0,0.0,0.0,3,20656.666666666668,16.74315780649941,280.3333333333421,3,0.028372666666666668,0.016898206186851117,0.00028554937233333334,3,8.333333333333334,0.3458573887216129,0.11961733333333288,3
legal_cuad,AdaptimmuneAlliance,2,ada_q2_registry,garbage,high,20040.0,0.0,0.0,3,150.66666666666666,117.20210464549403,13736.333333333332,3,425.6666666666667,170.89567968012923,29205.333333333336,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,20616.333333333332,288.09778432562297,83000.33333333318,3,0.027357999999999997,0.015569012781804762,0.00024239415900000007,3,7.5186666666666655,2.604391355640187,6.782854333333333,3
legal_cuad,AdaptimmuneAlliance,2,ada_q2_registry,garbage,low,20040.0,0.0,0.0,3,109.0,50.22947341949744,2523.0,3,287.6666666666667,11.54700538379252,133.33333333333343,3,10904.666666666666,9443.71835313471,89183816.33333334,3,0.0,0.0,0.0,3,20436.666666666668,61.77647880329022,3816.3333333333658,3,0.025211333333333336,0.016640653963511567,0.00027691136433333327,3,5.634666666666667,0.8289730594737886,0.6871963333333335,3
legal_cuad,ArmstrongIP,1,arm_q1_enforcement,context,high,2022.0,0.0,0.0,3,1163.0,0.0,0.0,3,1054.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,4239.0,0.0,0.0,3,0.030647999999999998,0.0,0.0,3,23.087333333333333,1.2421019818570984,1.5428173333333315,3
legal_cuad,ArmstrongIP,1,arm_q1_enforcement,context,low,2022.0,0.0,0.0,3,903.0,121.2435565298214,14700.0,3,751.0,46.76537180435969,2187.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3676.0,168.0089283341811,28227.0,3,0.023891999999999997,0.0020161071400101723,4.064687999999997e-06,3,16.031000000000002,1.371593234162374,1.881268000000001,3
legal_cuad,ArmstrongIP,1,arm_q1_enforcement,full,high,19805.0,0.0,0.0,3,355.3333333333333,9.814954576223641,96.33333333333341,3,520.3333333333334,43.87862045841157,1925.333333333334,3,10909.333333333334,9447.759805019035,89260165.33333333,3,0.0,0.0,0.0,3,20680.666666666668,34.06366588218818,1160.3333333333512,3,0.030481333333333333,0.016805199086393868,0.0002824147163333333,3,10.218333333333332,0.18963473662104532,0.03596133333333323,3
legal_cuad,ArmstrongIP,1,arm_q1_enforcement,full,low,19805.0,0.0,0.0,3,804.0,0.0,0.0,3,578.0,0.0,0.0,3,5452.0,9443.14100286552,89172912.0,3,0.0,0.0,0.0,3,21187.0,0.0,0.0,3,0.046380333333333336,0.016997769275211773,0.0002889241603333334,3,15.921333333333331,0.10115499658115422,0.01023233333333332,3
legal_cuad,ArmstrongIP,1,arm_q1_enforcement,garbage,high,19862.0,0.0,0.0,3,301.6666666666667,15.011106998930261,225.3333333333331,3,613.0,31.176914536239792,972.0,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,20776.666666666668,16.165807537310048,261.3333333333503,3,0.031062000000000003,0.017104826774919417,0.00029257509900000014,3,10.905666666666667,0.33654469737812487,0.11326233333333366,3
legal_cuad,ArmstrongIP,1,arm_q1_enforcement,garbage,low,19862.0,0.0,0.0,3,62.333333333333336,0.5773502691896247,0.33333333333333215,3,296.0,11.269427669584644,127.0,3,10904.0,9443.14100286552,89172912.0,3,0.0,0.0,0.0,3,20220.333333333332,10.969655114602627,120.33333333332757,3,0.024396666666666667,0.01693233511165348,0.00028670397233333334,3,4.93,0.13551383693187924,0.018363999999999957,3
legal_cuad,ArmstrongIP,2,arm_q2_termination,context,high,2042.0,0.0,0.0,3,1143.3333333333333,32.33161507461906,1045.3333333333344,3,1128.6666666666667,90.64399226277123,8216.33333333333,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,4314.0,122.97560733739029,15123.0,3,0.031348,0.0014757072880486823,2.1777119999999964e-06,3,22.441999999999997,0.9320064377460054,0.8686359999999986,3
legal_cuad,ArmstrongIP,2,arm_q2_termination,context,low,2042.0,0.0,0.0,3,338.0,3.4641016151377544,12.0,3,573.0,1.7320508075688772,3.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2953.0,5.196152422706632,27.0,3,0.015016000000000002,6.235382907248009e-05,3.888000000000064e-09,3,10.004,0.18027756377319987,0.03250000000000015,3
legal_cuad,ArmstrongIP,2,arm_q2_termination,full,high,19812.0,0.0,0.0,3,481.6666666666667,4.61880215351701,21.33333333333337,3,722.3333333333334,16.743157806499138,280.33333333333303,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,21016.0,12.12435565298214,147.0,3,0.034434,0.017080217767932587,0.0002917338390000001,3,14.325000000000001,0.6599689386630259,0.43555900000000086,3
legal_cuad,ArmstrongIP,2,arm_q2_termination,full,low,19812.0,0.0,0.0,3,362.0,0.0,0.0,3,551.0,0.0,0.0,3,10904.0,9443.14100286552,89172912.0,3,0.0,0.0,0.0,3,20725.0,0.0,0.0,3,0.030952666666666667,0.016997769275211773,0.0002889241603333334,3,11.388,0.8396624321714065,0.7050330000000018,3
legal_cuad,ArmstrongIP,2,arm_q2_termination,garbage,high,19869.0,0.0,0.0,3,462.3333333333333,26.558112382722783,705.3333333333331,3,711.6666666666666,2.8867513459481207,8.333333333333286,3,10910.0,9448.337155288225,89271075.0,3,0.0,0.0,0.0,3,21043.0,29.444863728670914,867.0,3,0.034187999999999996,0.017360345244262856,0.00030138158699999997,3,13.113333333333335,0.6558706681452778,0.43016633333333315,3
legal_cuad,ArmstrongIP,2,arm_q2_termination,garbage,low,19869.0,0.0,0.0,3,312.3333333333333,4.61880215351701,21.33333333333337,3,526.6666666666666,30.599564267050155,936.3333333333328,3,10904.0,9443.14100286552,89172912.0,3,0.0,0.0,0.0,3,20708.0,25.98076211353316,675.0,3,0.03017866666666667,0.01730953842057417,0.00029962012033333326,3,9.753333333333332,0.22897670915036902,0.052430333333332683,3
legal_cuad,BuffaloWildWings,1,bww_q1_initial_fee,context,high,1092.0,0.0,0.0,3,422.0,14.52583904633395,211.0,3,624.0,55.46169849544819,3076.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2138.0,43.278170016764804,1873.0,3,0.014735999999999999,0.000519338040201177,2.697119999999993e-07,3,12.423333333333332,0.9838355214838157,0.9679323333333316,3
legal_cuad,BuffaloWildWings,1,bww_q1_initial_fee,context,low,1092.0,0.0,0.0,3,352.6666666666667,35.79571668975679,1281.3333333333328,3,343.6666666666667,0.577350269189634,0.3333333333333428,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,1788.3333333333333,35.21836642056721,1240.3333333333358,3,0.010539999999999999,0.0004226203970468063,1.7860800000000022e-07,3,8.951333333333332,0.5522864594875865,0.30502033333333356,3
legal_cuad,BuffaloWildWings,1,bww_q1_initial_fee,full,high,30126.0,0.0,0.0,3,312.0,0.0,0.0,3,418.0,0.0,0.0,3,9550.0,16541.08521228278,273607500.0,3,0.0,0.0,0.0,3,30856.0,0.0,0.0,3,0.051822,0.029773953382109006,0.0008864883000000003,3,11.134666666666666,1.055599513704573,1.114290333333331,3
legal_cuad,BuffaloWildWings,1,bww_q1_initial_fee,full,low,30126.0,0.0,0.0,3,213.0,0.0,0.0,3,366.0,0.0,0.0,3,9546.666666666666,16535.311709590882,273416533.3333334,3,0.0,0.0,0.0,3,30705.0,0.0,0.0,3,0.050016,0.029763561077263585,0.0008858695679999999,3,9.130333333333333,1.0020146372849716,1.0040333333333333,3
